Pair,Parameter,Estimate,Std. Error,t-value,P-value,ModelGroup,Equation
USDPHP_RET,n_support_vectors,1461.0,38.22302970723278,38.22302970723279,0.0,hybrid_arima_svr,
CNYPHP_RET,intercept_mean,0.233726467891024,0.0233726467891024,10.0,1.523970604832094e-23,hybrid_arima_svr,
CNYPHP_RET,dual_coef_mean,0.0,0.0263073950071305,0.0,1.0,hybrid_arima_svr,
CNYPHP_RET,n_support_vectors,1430.0,37.81534080237808,37.81534080237808,0.0,hybrid_arima_svr,
JPYPHP_RET,intercept_mean,0.1336882658020927,0.0133688265802092,10.0,1.523970604832094e-23,hybrid_arima_svr,
JPYPHP_RET,dual_coef_mean,2.290595537588976e-18,0.0252920593570939,9.056579795454687e-17,1.0,hybrid_arima_svr,
JPYPHP_RET,n_support_vectors,1551.0,39.382737335030434,39.382737335030434,0.0,hybrid_arima_svr,
HKDPHP_RET,intercept_mean,0.2526651302738289,0.0252665130273828,10.0,1.523970604832094e-23,hybrid_arima_svr,
HKDPHP_RET,dual_coef_mean,2.4569250890736522e-18,0.0261588753409115,9.392319268524172e-17,1.0,hybrid_arima_svr,
HKDPHP_RET,n_support_vectors,1446.0,38.02630668366309,38.02630668366309,0.0,hybrid_arima_svr,
SGDPHP_RET,intercept_mean,0.2499531135409821,0.0249953113540982,9.999999999999998,1.5239706048321166e-23,hybrid_arima_svr,
SGDPHP_RET,dual_coef_mean,0.0,0.0263922136332404,0.0,1.0,hybrid_arima_svr,
SGDPHP_RET,n_support_vectors,1420.0,37.68288736283355,37.68288736283354,0.0,hybrid_arima_svr,
USDPHP_RET,coefs_L0_mean,-0.021045497918791,0.0165886818077648,-1.268666079841259,0.2045601853114238,hybrid_arimax_mlp,
USDPHP_RET,coefs_L1_mean,0.0298636177323212,0.0151170033494402,1.9754985192503185,0.0482116024845739,hybrid_arimax_mlp,
USDPHP_RET,intercepts_L0_mean,0.0040510629789665,0.0142482728061334,0.2843195827372655,0.7761654802790242,hybrid_arimax_mlp,
USDPHP_RET,intercepts_L1_mean,-0.1863728555793715,0.001,-186.3728555793715,0.0,hybrid_arimax_mlp,
CNYPHP_RET,coefs_L0_mean,-0.0224165108569805,0.0168918432184973,-1.327061266613783,0.1844884167880004,hybrid_arimax_mlp,
CNYPHP_RET,coefs_L1_mean,0.0334078763282891,0.0152723710127215,2.187471500035012,0.0287081215473256,hybrid_arimax_mlp,
CNYPHP_RET,intercepts_L0_mean,0.00114508848392,0.0142611493359171,0.0802942635931961,0.9360032204742949,hybrid_arimax_mlp,
CNYPHP_RET,intercepts_L1_mean,-0.1877881673957161,0.001,-187.78816739571613,0.0,hybrid_arimax_mlp,
JPYPHP_RET,coefs_L0_mean,-0.010768382476987,0.0146172857323259,-0.7366882384444973,0.4613119609465156,hybrid_arimax_mlp,
JPYPHP_RET,coefs_L1_mean,0.0290327311818364,0.0135248381195031,2.1466231924780272,0.0318232919904999,hybrid_arimax_mlp,
JPYPHP_RET,intercepts_L0_mean,0.0026560831575658,0.0143139268891741,0.1855593631384745,0.8527903235394421,hybrid_arimax_mlp,
JPYPHP_RET,intercepts_L1_mean,-0.1903535518383847,0.001,-190.3535518383848,0.0,hybrid_arimax_mlp,
HKDPHP_RET,coefs_L0_mean,-0.0209204360881437,0.0170375525819381,-1.227901483357532,0.2194839526156334,hybrid_arimax_mlp,
HKDPHP_RET,coefs_L1_mean,0.0295188383605861,0.0159995760720018,1.8449762811054733,0.0650409890113997,hybrid_arimax_mlp,
HKDPHP_RET,intercepts_L0_mean,0.0027570861062038,0.0143034073347383,0.1927572949354368,0.8471490498952511,hybrid_arimax_mlp,
HKDPHP_RET,intercepts_L1_mean,-0.1869540348747712,0.001,-186.9540348747712,0.0,hybrid_arimax_mlp,
SGDPHP_RET,coefs_L0_mean,-0.0206224313626368,0.0157854068623274,-1.306423809186266,0.1914084734649014,hybrid_arimax_mlp,
SGDPHP_RET,coefs_L1_mean,0.0256263642298135,0.0145364229690535,1.7629071666646798,0.0779161481310046,hybrid_arimax_mlp,
SGDPHP_RET,intercepts_L0_mean,0.0051574291860546,0.0143199337520312,0.360157335596823,0.7187294780000782,hybrid_arimax_mlp,
SGDPHP_RET,intercepts_L1_mean,-0.1843129874490428,0.001,-184.31298744904285,0.0,hybrid_arimax_mlp,
USDPHP_RET,intercept_mean,0.233579116239271,0.0233579116239271,9.999999999999998,1.5239706048321166e-23,hybrid_arimax_svr,
USDPHP_RET,dual_coef_mean,0.0,0.0274061537997935,0.0,1.0,hybrid_arimax_svr,
USDPHP_RET,n_support_vectors,1314.0,36.24913792078372,36.24913792078372,1.0252691306824698e-287,hybrid_arimax_svr,
CNYPHP_RET,intercept_mean,0.2742739095807669,0.0274273909580766,10.0,1.523970604832094e-23,hybrid_arimax_svr,
CNYPHP_RET,dual_coef_mean,-2.4603280324103192e-18,0.026191513517426,-9.3936077072193e-17,1.0,hybrid_arimax_svr,
CNYPHP_RET,n_support_vectors,1444.0,38.0,38.0,0.0,hybrid_arimax_svr,
JPYPHP_RET,intercept_mean,0.1049382076467277,0.0104938207646727,10.0,1.523970604832094e-23,hybrid_arimax_svr,
JPYPHP_RET,dual_coef_mean,0.0,0.0259089907559297,0.0,1.0,hybrid_arimax_svr,
JPYPHP_RET,n_support_vectors,1476.0,38.41874542459709,38.41874542459709,0.0,hybrid_arimax_svr,
HKDPHP_RET,intercept_mean,0.228557566671925,0.0228557566671925,10.0,1.523970604832094e-23,hybrid_arimax_svr,
HKDPHP_RET,dual_coef_mean,-2.691449756667046e-18,0.0273946187963545,-9.82473885354886e-17,1.0,hybrid_arimax_svr,
HKDPHP_RET,n_support_vectors,1320.0,36.3318042491699,36.3318042491699,5.092917599253689e-289,hybrid_arimax_svr,
SGDPHP_RET,intercept_mean,0.2433335787938536,0.0243333578793853,10.0,1.523970604832094e-23,hybrid_arimax_svr,
SGDPHP_RET,dual_coef_mean,2.530422848148505e-18,0.0265494214007994,9.530990562650499e-17,1.0,hybrid_arimax_svr,
SGDPHP_RET,n_support_vectors,1404.0,37.46998799039039,37.46998799039039,2.839366367771381e-307,hybrid_arimax_svr,
USDPHP_RET,coefs_L0_mean,-0.0224368510769533,0.0164838993417617,-1.3611373505606073,0.1734702880771396,hybrid_var_mlp,
USDPHP_RET,coefs_L1_mean,0.0352367858550834,0.0150936536002822,2.334543165507961,0.0195672985735595,hybrid_var_mlp,
USDPHP_RET,intercepts_L0_mean,0.0007487133790301,0.0143772140833004,0.0520763880048107,0.958467827073827,hybrid_var_mlp,
USDPHP_RET,intercepts_L1_mean,-0.1862227095713484,0.001,-186.2227095713484,0.0,hybrid_var_mlp,
CNYPHP_RET,coefs_L0_mean,-0.0197048655499491,0.0162740364777284,-1.2108161104908404,0.2259658893225952,hybrid_var_mlp,
CNYPHP_RET,coefs_L1_mean,0.0298631472584066,0.0146244785795968,2.041997401539486,0.0411517890837215,hybrid_var_mlp,
CNYPHP_RET,intercepts_L0_mean,0.0001597781267476,0.0142592449097347,0.0112052305545677,0.9910597066270204,hybrid_var_mlp,
CNYPHP_RET,intercepts_L1_mean,-0.1887897042254719,0.001,-188.78970422547195,0.0,hybrid_var_mlp,
JPYPHP_RET,coefs_L0_mean,-0.0105625267455214,0.014378894629623,-0.7345854474627551,0.4625920034480805,hybrid_var_mlp,
JPYPHP_RET,coefs_L1_mean,0.028995610252937,0.0133706875550809,2.168595304728248,0.0301134219606689,hybrid_var_mlp,
