Pair,Model_A,Model_B,Loss,Set,DM_stat_full,p_value_full,n_obs_full,A_better_than_B_5pct_full,DM_stat_trim,p_value_trim,n_obs_trim,A_better_than_B_5pct_trim,same_significance
JPYPHP_RET,hybrid_arimax_svr,baseline_mean,mse,test,-4.10975116882611,4.760281425264523e-05,423,True,-4.277254542577201,2.3543920525392892e-05,413,True,True
JPYPHP_RET,hybrid_arimax_svr,baseline_rw,mse,test,-4.123547453284948,4.494230390861276e-05,423,True,-4.275511953044293,2.3720923090664314e-05,413,True,True
JPYPHP_RET,hybrid_var_mlp,baseline_ar1,mse,test,-0.7373184530098669,0.46133845981666344,423,False,0.38539321718772573,0.7001440430430499,415,False,True
JPYPHP_RET,hybrid_var_mlp,baseline_mean,mse,test,-2.151837077110049,0.03197689206015841,423,True,-1.473495369749771,0.14137741755405475,415,False,False
JPYPHP_RET,hybrid_var_mlp,baseline_rw,mse,test,-2.163427827616372,0.03106895951060329,423,True,-1.481196598722673,0.1393148543106857,415,False,False
JPYPHP_RET,hybrid_var_svr,baseline_ar1,mse,test,-0.6299958985134483,0.5290382273821628,423,False,1.1256908999497413,0.2609485172885353,415,False,True
JPYPHP_RET,hybrid_var_svr,baseline_mean,mse,test,-1.8673575868400798,0.062544711243258,423,False,-0.9966559510898054,0.31951369909433347,415,False,True
JPYPHP_RET,hybrid_var_svr,baseline_rw,mse,test,-1.8760587984263462,0.06133722869016944,423,False,-1.0038079872574404,0.3160575101727543,415,False,True
JPYPHP_RET,hybrid_varx_mlp,baseline_ar1,mse,test,-3.123864666106953,0.001907994901807264,423,True,-2.346815046214113,0.019407433081595205,413,True,True
JPYPHP_RET,hybrid_varx_mlp,baseline_mean,mse,test,-3.7097450124938347,0.00023520932429255126,423,True,-3.2410043824421586,0.0012878318792808319,413,True,True
JPYPHP_RET,hybrid_varx_mlp,baseline_rw,mse,test,-3.720908820638955,0.00022536723387966973,423,True,-3.2449502612499463,0.0012705618109223327,413,True,True
JPYPHP_RET,hybrid_varx_svr,baseline_ar1,mse,test,-2.925629019494153,0.003623158079636646,423,True,-2.0974608516915123,0.036561604614445464,413,True,True
JPYPHP_RET,hybrid_varx_svr,baseline_mean,mse,test,-3.4480221840623386,0.0006214454644972722,423,True,-3.0503750831988836,0.0024332319740512087,413,True,True
JPYPHP_RET,hybrid_varx_svr,baseline_rw,mse,test,-3.458998450110286,0.0005973367876384028,423,True,-3.056204775893177,0.0023874536804802116,413,True,True
JPYPHP_RET,var,baseline_ar1,mse,test,0.07758622566252117,0.9381939720800674,423,False,0.8680234746667741,0.3858843561274461,415,False,True
JPYPHP_RET,var,baseline_mean,mse,test,-1.9228212626138426,0.055175190443059074,423,False,-1.3077997636271799,0.19166696340353684,415,False,True
